M,c,d,e,caught,behavior
1,0.4,0,0,0,1,
1,0.8,0,0,0,2,
1,0.15,0,0,0,0,
1,1.5,0,0,0,2,
1,2.5,0,0,0,4,
2,0.4,0,0,0,2,
2,0.8,0,0,0,2,
2,0.15,0,0,0,2,
2,1.5,0,0,1,4,
2,2.5,0,0,1,4,
3,0.4,0,0,0,2,
3,0.8,0,0,1,2,
3,0.15,0,0,0,0,
3,1.5,0,0,1,4,
3,2.5,0,0,1,4,
4,0.4,0,0,0,2,
4,0.8,0,0,1,4
4,0.15,0,0,0,0,
4,1.5,0,0,1,4,
4,2.5,0,0,1,4,
5,0.4,0,0,0,1,
5,0.8,0,0,1,4,
5,0.15,0,0,0,0,
5,1.5,0,0,1,4,
5,2.5,0,0,1,4,
