a,b,c,d,e,N,M,mean_std_pos
1,0.2,0.4,0.0,0.9,400,4,1.299985085040737
1,0.2,0.4,0.0,0.9,400,4,2.4904063782266017
1,0.2,0.4,0.0,0.9,400,4,1.1820236890866216
1,0.2,0.4,0.0,1.0,400,4,2.2088513138784114
1,0.2,0.4,0.0,1.0,400,4,1.2057140942568199
1,0.2,0.4,0.0,1.0,400,4,1.9691160212118277
1,0.2,0.4,0.0,1.0,400,4,0.33307538822765725
1,0.2,0.4,0.0,1.0,400,4,2.3514025463197354
1,0.2,0.4,0.0,1.1,400,4,2.141516228013713
1,0.2,0.4,0.0,1.1,400,4,2.438685760121588
1,0.2,0.4,0.0,1.1,400,4,1.6086165003012503
1,0.2,0.4,0.0,1.1,400,4,1.7681841124376714
1,0.2,0.4,0.0,1.1,400,4,2.174592653694271
1,0.2,0.4,0.0,1.2,400,4,1.7598765582395317
1,0.2,0.4,0.0,1.2,400,4,2.317099691259033
1,0.2,0.4,0.0,1.2,400,4,2.6296736082169168
1,0.2,0.4,0.0,1.2,400,4,1.8253093636940627
1,0.2,0.4,0.0,1.2,400,4,2.400024306584675
1,0.2,0.4,0.0,1.3,400,4,2.770402768857907
1,0.2,0.4,0.0,1.3,400,4,1.8219330145157575
1,0.2,0.4,0.0,1.3,400,4,2.6338669004432207
1,0.2,0.4,0.0,1.3,400,4,2.160170948599487
1,0.2,0.4,0.0,1.3,400,4,2.0817067968195184
1,0.2,0.4,0.0,1.4,400,4,2.3314327827654004
1,0.2,0.4,0.0,1.4,400,4,2.310838718223391
1,0.2,0.4,0.0,1.4,400,4,2.350775804983278
1,0.2,0.4,0.0,1.4,400,4,2.1091002805930694
1,0.2,0.4,0.0,1.4,400,4,2.3731976290812744
1,0.2,0.4,0.0,1.5,400,4,2.517449551360122
1,0.2,0.4,0.0,1.5,400,4,2.824600704750739
1,0.2,0.4,0.0,1.5,400,4,2.1723498040835962
1,0.2,0.4,0.0,1.5,400,4,2.6639361896582567
1,0.2,0.4,0.0,1.5,400,4,1.7749385926935932
1,0.2,0.4,0.0,1.6,400,4,2.068702806254194
1,0.2,0.4,0.0,1.6,400,4,2.9161998281164774
1,0.2,0.4,0.0,1.6,400,4,3.350688672066403
1,0.2,0.4,0.0,1.6,400,4,2.7525139734549255
1,0.2,0.4,0.0,1.6,400,4,2.6499017623202867
1,0.2,0.4,0.0,1.7,400,4,3.4059381607470716
1,0.2,0.4,0.0,1.7,400,4,2.8835630639757683
1,0.2,0.4,0.0,1.7,400,4,2.9939711725527505
1,0.2,0.4,0.0,1.7,400,4,2.9589356512345937
1,0.2,0.4,0.0,1.7,400,4,3.245720066020458
1,0.2,0.4,0.0,1.8,400,4,2.914375465460136
1,0.2,0.4,0.0,1.8,400,4,2.9321854608656346
1,0.2,0.4,0.0,1.8,400,4,3.5514811013869227
1,0.2,0.4,0.0,1.8,400,4,3.2099039721261393
1,0.2,0.4,0.0,1.8,400,4,1.763990794607744
1,0.2,0.4,0.0,1.9,400,4,2.778025911057632
1,0.2,0.4,0.0,1.9,400,4,3.5883529208908143
1,0.2,0.4,0.0,1.9,400,4,3.750673705219499
1,0.2,0.4,0.0,1.9,400,4,3.4829916846796567
1,0.2,0.4,0.0,1.9,400,4,3.695538148584609
1,0.2,0.4,0.1,0.0,400,4,0.21628324949519978
1,0.2,0.4,0.1,0.0,400,4,0.6609056977766116
1,0.2,0.4,0.1,0.0,400,4,0.3080718246817712
1,0.2,0.4,0.1,0.0,400,4,0.537967131697448
1,0.2,0.4,0.1,0.0,400,4,0.19829561365645582
1,0.2,0.4,0.1,0.1,400,4,0.36325884038126216
1,0.2,0.4,0.1,0.1,400,4,0.20471910520997427
1,0.2,0.4,0.1,0.1,400,4,0.16338532810355988
1,0.2,0.4,0.1,0.1,400,4,0.6813112348858273
1,0.2,0.4,0.1,0.1,400,4,0.18529732259677034
1,0.2,0.4,0.1,0.2,400,4,0.11486734728632196
1,0.2,0.4,0.1,0.2,400,4,0.17309897123378462
1,0.2,0.4,0.1,0.2,400,4,0.07410569775797327
1,0.2,0.4,0.1,0.2,400,4,0.20728922730521596
1,0.2,0.4,0.1,0.2,400,4,0.06775556559295892
1,0.2,0.4,0.1,0.3,400,4,0.30852686679536034
